cve,publicada,cvss,cvss_severidad,cvss_version,epss,epss_percentil,kev_fabricante,kev_producto,kev_fecha_agregada,kev_ransomware,explotada,cvss_banda,epss_alto,prioridad,riesgo_base,riesgo
CVE-2026-7814,2026-05-11,4.8,MEDIUM,4.0,0.00163,0.05893,,,,,False,Media,False,4 - Seguimiento normal,0.0078,0.0078
CVE-2026-31252,2026-05-11,5.7,MEDIUM,3.1,0.00112,0.01595,,,,,False,Media,False,4 - Seguimiento normal,0.0064,0.0064
CVE-2026-44738,2026-05-11,7.7,HIGH,3.1,0.00276,0.19714,,,,,False,Alta,False,4 - Seguimiento normal,0.0213,0.0213
CVE-2026-45006,2026-05-11,7.7,HIGH,4.0,0.00489,0.39285,,,,,False,Alta,False,4 - Seguimiento normal,0.0377,0.0377
CVE-2026-42887,2026-05-11,4.5,MEDIUM,3.1,0.00207,0.1102,,,,,False,Media,False,4 - Seguimiento normal,0.0093,0.0093
CVE-2026-28930,2026-05-11,7.5,HIGH,3.1,0.00302,0.22484,,,,,False,Alta,False,4 - Seguimiento normal,0.0226,0.0226
CVE-2026-28957,2026-05-11,3.3,LOW,3.1,0.00123,0.02495,,,,,False,Baja,False,4 - Seguimiento normal,0.0041,0.0041
CVE-2026-28971,2026-05-11,4.3,MEDIUM,3.1,0.00296,0.21873,,,,,False,Media,False,4 - Seguimiento normal,0.0127,0.0127
CVE-2026-1681,2026-05-12,6.1,MEDIUM,3.1,0.00144,0.04126,,,,,False,Media,False,4 - Seguimiento normal,0.0088,0.0088
CVE-2026-45212,2026-05-12,5.3,MEDIUM,3.1,0.00225,0.13351,,,,,False,Media,False,4 - Seguimiento normal,0.0119,0.0119
CVE-2026-32687,2026-05-12,7.5,HIGH,4.0,0.00198,0.09891,,,,,False,Alta,False,4 - Seguimiento normal,0.0149,0.0149
CVE-2026-20881,2026-05-12,6.8,MEDIUM,4.0,0.00098,0.00917,,,,,False,Media,False,4 - Seguimiento normal,0.0067,0.0067
CVE-2026-8278,2026-05-12,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2025-46311,2026-05-12,7.5,HIGH,3.1,0.00231,0.1406,,,,,False,Alta,False,4 - Seguimiento normal,0.0173,0.0173
CVE-2026-33821,2026-05-12,7.7,HIGH,3.1,0.00659,0.4778,,,,,False,Alta,False,4 - Seguimiento normal,0.0507,0.0507
CVE-2026-34333,2026-05-12,7.8,HIGH,3.1,0.00298,0.22019,,,,,False,Alta,False,4 - Seguimiento normal,0.0232,0.0232
CVE-2026-34642,2026-05-12,7.8,HIGH,3.1,0.00187,0.08557,,,,,False,Alta,False,4 - Seguimiento normal,0.0146,0.0146
CVE-2026-34644,2026-05-12,7.8,HIGH,3.1,0.0017,0.06623,,,,,False,Alta,False,4 - Seguimiento normal,0.0133,0.0133
CVE-2026-40379,2026-05-12,9.3,CRITICAL,3.1,0.0091,0.56305,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0846,0.0846
CVE-2026-40381,2026-05-12,7.8,HIGH,3.1,0.00219,0.12547,,,,,False,Alta,False,4 - Seguimiento normal,0.0171,0.0171
CVE-2026-41109,2026-05-12,8.8,HIGH,3.1,0.00861,0.54783,,,,,False,Alta,False,4 - Seguimiento normal,0.0758,0.0758
